applicants_organisations_only, applicants_useme, cited_count, cpc_codes_useme, dois, extended_family_size, inventors_useme, ipc_codes, ipc_short, ipc_subclass, non_patent_citations, priority_country_codes, priority_country_name, priority_date, priority_numbers, priority_year, publication_country_code, publication_country_name, publication_date, publication_number, publication_year, simple_family_size, title, title_phrases, url
"SYNPOWER CO LTD SYNPOWER CO LT","SYNPOWER CO LTD SYNPOWER CO LT","0","","","1","ZONGLIN CAI ZONGLIN CAI","G03F7/20; G03F9/00; H01L21/027","Electrical Elements; Photography","G03F: Physics -> Photography; Cinematography; Analogous Techniques Using Waves Other Than Optical Waves; Electrography; Holography -> Photomechanical Production Of Textured Or Patterned Surfaces, E.G. For Printing, For Processing Of Semiconductor Devices; Materials Therefor; Originals Therefor; Apparatus Specially Adapted Therefor; H01L: Electricity -> Basic Electric Elements -> Semiconductor Devices; Electric Solid State Devices Not Otherwise Provided For","","CN","China","20070606","CN 200720148774 U","2007","CN","China","2008-8-6","CN 201097110 Y","2008","1","A Measuring Device For Accurate Aligning Of Up And Down Drone","Accurate; Device; Down Drone","https://lens.org/028-294-401-367-798"
"","ZHIGUO WANG","0","","","1","ZHIGUO WANG","F42B3/22","Weapons","F42B: Mechanical Engineering; Lighting; Heating; Weapons; Blasting -> Ammunition; Blasting -> Explosive Charges, E.G. For Blasting; Fireworks; Ammunition","","CN","China","20071026","CN 200720173833 U","2007","CN","China","2008-12-17","CN 201166536 Y","2008","1","Detonator Target Drone","detonator Target Drone","https://lens.org/112-453-695-092-696"
"SHAANXI LAOQIANG TARGET CO LTD","SHAANXI LAOQIANG TARGET CO LTD","1","","","1","FENGXIANG NIU","F41J7/04; F41J7/06","Weapons","F41J: Mechanical Engineering; Lighting; Heating; Weapons; Blasting -> Weapons -> Targets; Target Ranges; Bullet Catchers","","CN","China","20080203","CN 200820028307 U","2008","CN","China","2009-1-7","CN 201177483 Y","2009","1","Tumbler Rotation Target Drone","tumbler Rotation Target Drone","https://lens.org/199-491-272-183-370"
"SHAANXI LAOQIANG TARGET CO LTD","SHAANXI LAOQIANG TARGET CO LTD","0","F41J7/02; F41J7/06","","1","FENGXIANG NIU","F41J7/00","Weapons","F41J: Mechanical Engineering; Lighting; Heating; Weapons; Blasting -> Weapons -> Targets; Target Ranges; Bullet Catchers","","CN","China","20080203","CN 200820028300 U","2008","CN","China","2009-1-7","CN 201177482 Y","2009","1","Mobile Type Lifting Target Drone","mobile Type; Target Drone","https://lens.org/029-407-795-796-572"
"QINGHAI JITIAN TECHNOLOGY DEV","QINGHAI JITIAN TECHNOLOGY DEV","0","","","1","JIMIN HAN; SHUMIN MA; ZHENG LI","","","","","CN","China","20071018","CN 200720126153 U","2007","CN","China","2009-2-25","CN 201199144 Y","2009","1","Bullet Collector","bullet Collector","https://lens.org/135-609-752-870-857"
"","YANJUN LI","0","","","1","YANJUN LI","H04R1/10","Loudspeakers/Microphones","H04R: Electricity -> Electric Communication Technique -> Loudspeakers, Microphones, Gramophone Pick-Ups Or Like Acoustic Electromechanical Transducers; Deaf-Aid Sets; Public Address Systems","","CN","China","20080703","CN 200820025163 U","2008","CN","China","2009-4-15","CN 201222799 Y","2009","1","Multifunctional Navigation Earphone","multifunctional Navigation Earphone","https://lens.org/024-781-352-691-155"
"BAODING LONG TENG SPORTS GOODS CO LTD","BAODING LONG TENG SPORTS GOODS CO LTD","1","","","1","WANG ZHANHENG","F41J9/02","Weapons","F41J: Mechanical Engineering; Lighting; Heating; Weapons; Blasting -> Weapons -> Targets; Target Ranges; Bullet Catchers","","CN","China","20080904","CN 200820134578 U","2008","CN","China","2009-5-27","CN 201247003 Y","2009","1","Shooting Target Set Applied For Wall Supervising Guard On Duty","Duty; shooting Target Set; Wall Supervising Guard","https://lens.org/103-201-573-416-210"
"","XIANWEI MENG","2","","","1","XIANWEI MENG","F41J7/06","Weapons","F41J: Mechanical Engineering; Lighting; Heating; Weapons; Blasting -> Weapons -> Targets; Target Ranges; Bullet Catchers","","CN","China","20080527","CN 200820029202 U","2008","CN","China","2009-4-29","CN 201229147 Y","2009","1","Portable Slice Type Erecting And Failing Target","Failing Target; portable Slice Type Erecting","https://lens.org/186-514-565-160-575"
"BEIJING ECKMAN BIO TECH CO LTD","BEIJING ECKMAN BIO TECH CO LTD","1","","","1","JINPING DU","A01M1/02; A01M1/16","Agriculture","A01M: Human Necessities -> Agriculture; Forestry; Animal Husbandry; Hunting; Trapping; Fishing -> Catching, Trapping Or Scaring Of Animals; Apparatus For The Destruction Of Noxious Animals Or Noxious Plants","","CN","China","20080709","CN 200820109107 U","2008","CN","China","2009-5-27","CN 201243568 Y","2009","1","Insect Sticking Plate","insect Sticking Plate","https://lens.org/044-710-362-188-729"
"SOUTHWEST RES INST OF CREC","SOUTHWEST RES INST OF CREC","3","","","1","GANG WANG; HEDONG REN; YE SONG","G01B11/02","Measuring","G01B: Physics -> Measuring; Testing -> Measuring Length, Thickness Or Similar Linear Dimensions; Measuring Angles; Measuring Areas; Measuring Irregularities Of Surfaces Or Contours","","CN","China","20080414","CN 200820062914 U","2008","CN","China","2009-6-24","CN 201262546 Y","2009","1","Tbm Tunnel Clearance Displacement Monitoring System","system; tbm Tunnel Clearance Displacement","https://lens.org/070-927-284-144-981"
"COMMAND COLLEGE OF THE CHINESE","COMMAND COLLEGE OF THE CHINESE","0","","","1","GUIJIE HAN; PINGAN MA; SHENG XIAO; YIMIN HE; YONG ZHAO","F41J9/02","Weapons","F41J: Mechanical Engineering; Lighting; Heating; Weapons; Blasting -> Weapons -> Targets; Target Ranges; Bullet Catchers","","CN","China","20080627","CN 200820064004 U","2008","CN","China","2009-6-3","CN 201251407 Y","2009","1","Shooting-train Target Drone Capable Of Automatic Lifting And Translating","Automatic; shooting-train Target Drone","https://lens.org/027-699-880-948-23X"
"","GUODONG LIANG","1","","","1","GUODONG LIANG","F41J5/048","Weapons","F41J: Mechanical Engineering; Lighting; Heating; Weapons; Blasting -> Weapons -> Targets; Target Ranges; Bullet Catchers","","CN","China","20090105","CN 200920000166 U","2009","CN","China","2009-11-4","CN 201340234 Y","2009","1","Target-record Drone With Self-restoring Force","Self-restoring Force; target-record Drone","https://lens.org/088-647-092-146-680"
"","KAI SHI","1","","","1","JIAN LIU; KAI SHI; RONGFENG NIE","F41J11/00","Weapons","F41J: Mechanical Engineering; Lighting; Heating; Weapons; Blasting -> Weapons -> Targets; Target Ranges; Bullet Catchers","","CN","China","20080603","CN 200820094580 U","2008","CN","China","2009-9-30","CN 201318907 Y","2009","1","Modularized Shooting Training Range","modularized Shooting Training Range","https://lens.org/093-351-181-264-003"
"UNIV YUNNAN AGRICULTURAL","UNIV YUNNAN AGRICULTURAL","0","","","1","BIANYING HU; KAI GUO; QIANG LI; WEIJIAO LI; XIANQI HU; XIAOYUN ZHANG; YANLI YANG","G01N33/00","Measuring","G01N: Physics -> Measuring; Testing -> Investigating Or Analysing Materials By Determining Their Chemical Or Physical Properties","","CN","China","20081015","CN 200820081763 U","2008","CN","China","2009-11-25","CN 201352215 Y","2009","1","Screen Mesh Device For Measuring Nematicidal Activity","Nematicidal Activity; screen Mesh Device","https://lens.org/128-765-988-452-644"
"","AVIC TIANSHUI AVIAT INDUSTRY C","0","","","1","BAOKUI ZHOU; BO JIAN; BO MU; JINYAN WANG; MINGXIAN LIU; PINGAN XIE; RUIFENG BAI; YAN DONG; ZHANCHAO GUO","F41J9/08","Weapons","F41J: Mechanical Engineering; Lighting; Heating; Weapons; Blasting -> Weapons -> Targets; Target Ranges; Bullet Catchers","","CN","China","20081211","CN 200820189885 U","2008","CN","China","2009-12-23","CN 201368702 Y","2009","1","Take-off Vehicle","take-off Vehicle","https://lens.org/138-710-544-073-55X"
"BEIJING JUNXING RUILONG TECHNOLOGY DEV CO LTD","BEIJING JUNXING RUILONG TECHNOLOGY DEV CO LTD","1","","","1","HONGBO WANG; YAO XU","F41J1/01; F41J5/048; F41J5/14; F41J7/04","Weapons","F41J: Mechanical Engineering; Lighting; Heating; Weapons; Blasting -> Weapons -> Targets; Target Ranges; Bullet Catchers","","CN","China","20090306","CN 200920032135 U","2009","CN","China","2010-12-30","CN 201373711 Y","2009","1","Comprehensive Intelligent Target-scoring System","comprehensive Intelligent Target-scoring System","https://lens.org/197-040-461-466-112"
"JINAN HANGYINA SCIENCE AND TECHNOLOGY CO LTD","JINAN HANGYINA SCIENCE AND TECHNOLOGY CO LTD","0","","","1","LIHUI ZHANG; LIQUAN LIAN; ZHENCAI LIU; ZHENSHENG LIU","B64C3/00","Aircraft","B64C: Performing Operations; Transporting -> Aircraft; Aviation; Cosmonautics -> Aeroplanes; Helicopters","","CN","China","20090312","CN 200920022994 U","2009","CN","China","2010-1-13","CN 201380959 Y","2010","1","Unmanned Drone","unmanned Drone","https://lens.org/120-660-992-789-213"
"HEHAI UNIVERSITY CHANGZHOU","HEHAI UNIVERSITY CHANGZHOU","1","","","1","LIZHONG XU; XINNAN FAN; XUEWU ZHANG","G01B11/00","Measuring","G01B: Physics -> Measuring; Testing -> Measuring Length, Thickness Or Similar Linear Dimensions; Measuring Angles; Measuring Areas; Measuring Irregularities Of Surfaces Or Contours","","CN","China","20081216","CN 200820214580 U","2008","CN","China","2010-2-10","CN 201402124 Y","2010","1","Measuring Apparatus For Physical Dimension Of Ships","Apparatus; Physical Dimension; Ships","https://lens.org/091-037-564-175-202"
"UNIV BEIJING AGRICULT","UNIV BEIJING AGRICULT","0","","","1","JIXIN SUN; MI CUI; XIULIAN JU","A01M9/00","Agriculture","A01M: Human Necessities -> Agriculture; Forestry; Animal Husbandry; Hunting; Trapping; Fishing -> Catching, Trapping Or Scaring Of Animals; Apparatus For The Destruction Of Noxious Animals Or Noxious Plants","","CN","China","19920709","CN 92226804 U","1992","CN","China","1993-1-6","CN 2126506 Y","1993","1","Manually Operating Electrostatic Powder Blower And Its Head With Corona Effect","Corona Effect; Head; Operating Electrostatic Powder Blower","https://lens.org/108-922-617-136-870"
"ZHOU LIANFANG","ZHOU LIANFANG","0","","","1","LI LI; LIANFANG ZHOU; WANGEN MA","B60Q1/14; B60Q9/00; F01M1/22","Engines; Vehicles","B60Q: Performing Operations; Transporting -> Vehicles In General -> Arrangement Of Signalling Or Lighting Devices, The Mounting Or Supporting Thereof Or Circuits Therefor, For Vehicles In General; F01M: Mechanical Engineering; Lighting; Heating; Weapons; Blasting -> Machines Or Engines In General; Engine Plants In General; Steam Engines -> Lubricating Of Machines Or Engines In General; Lubricating Internal-Combustion Engines; Crankcase Ventilating","","CN","China","19920710","CN 92226805 U","1992","CN","China","1993-2-17","CN 2127067 Y","1993","1","Oil Pressure And Head Lamp Automatic Control Device For Motor Vehicle","Head Lamp Automatic Control Device; Motor Vehicle; oil Pressure","https://lens.org/024-154-244-246-916"
"UNIV BEIJING AGRICULT","UNIV BEIJING AGRICULT","1","","","1","JIXIN SUN; MI CUI; XIULIAN JU","A01M9/00","Agriculture","A01M: Human Necessities -> Agriculture; Forestry; Animal Husbandry; Hunting; Trapping; Fishing -> Catching, Trapping Or Scaring Of Animals; Apparatus For The Destruction Of Noxious Animals Or Noxious Plants","","CN","China","19920709","CN 92226814 U","1992","CN","China","1993-1-6","CN 2126507 Y","1993","1","Corona Blowing Head Of Electrostatic Powder Blower","corona Blowing Head; Electrostatic Powder Blower","https://lens.org/073-644-680-050-927"
"","ZHANG SHIYUAN","0","","","1","SHIYUAN ZHANG","A01K59/04; B01D17/038","Agriculture; Separation/Mixing","A01K: Human Necessities -> Agriculture; Forestry; Animal Husbandry; Hunting; Trapping; Fishing -> Animal Husbandry; Care Of Birds, Fishes, Insects; Fishing; Rearing Or Breeding Animals, Not Otherwise Provided For; New Breeds Of Animals; B01D: Performing Operations; Transporting -> Physical Or Chemical Processes Or Apparatus In General -> Separation","","CN","China","19930603","CN 93214933 U","1993","CN","China","1995-2-15","CN 2189478 Y","1995","1","Multi-function Honey-dividing Machine","multi-function Honey-dividing Machine","https://lens.org/170-648-891-501-42X"
"MECHANICAL EQUIPMENT PLANT DEN","MECHANICAL EQUIPMENT PLANT DEN","0","","","1","SHUZHI LI","F41J7/00","Weapons","F41J: Mechanical Engineering; Lighting; Heating; Weapons; Blasting -> Weapons -> Targets; Target Ranges; Bullet Catchers","","CN","China","19931019","CN 93229491 U","1993","CN","China","1994-11-30","CN 2184186 Y","1994","1","Electric Standing-lying Target","electric Standing-lying Target","https://lens.org/144-433-175-694-338"
"LIU BINGJIE","LIU BINGJIE","0","","","1","BINGJIE LIU","A63H1/28","Sports","A63H: Human Necessities -> Sports; Games; Amusements -> Toys, E.G. Tops, Dolls, Hoops, Building Blocks","","CN","China","19960315","CN 96225600 U","1996","CN","China","1997-3-12","CN 2249109 Y","1997","1","Multi-function Illuminating Diabolo","multi-function Illuminating Diabolo","https://lens.org/012-049-613-522-999"
"SHENYANG INST AUTOMATION","SHENYANG INST AUTOMATION","0","","","1","LI XI","G01B11/26","Measuring","G01B: Physics -> Measuring; Testing -> Measuring Length, Thickness Or Similar Linear Dimensions; Measuring Angles; Measuring Areas; Measuring Irregularities Of Surfaces Or Contours","","CN","China","19951226","CN 95238619 U","1995","CN","China","1997-8-13","CN 2259614 Y","1997","1","Dynamic Angular Instrument","dynamic Angular Instrument","https://lens.org/053-508-181-432-646"
"NANJING SCIENCE & ENGINEERING","NANJING SCIENCE & ENGINEERING","5","","","1","CHEN GUOWANG; WANG QINGBAO; ZHOU JIANXUN","G01B11/04; G01B11/26","Measuring","G01B: Physics -> Measuring; Testing -> Measuring Length, Thickness Or Similar Linear Dimensions; Measuring Angles; Measuring Areas; Measuring Irregularities Of Surfaces Or Contours","","CN","China","19970328","CN 97235568 U","1997","CN","China","1998-10-14","CN 2294453 Y","1998","1","Automatically Measuring And Drawing The Volume Of Coal Bulk On Ground","Coal Bulk; Ground; Volume","https://lens.org/149-308-106-349-097"
"","ZHANG LIUSHENG","3","","","1","ZHANG LIUSHENG","A01K47/00","Agriculture","A01K: Human Necessities -> Agriculture; Forestry; Animal Husbandry; Hunting; Trapping; Fishing -> Animal Husbandry; Care Of Birds, Fishes, Insects; Fishing; Rearing Or Breeding Animals, Not Otherwise Provided For; New Breeds Of Animals","","CN","China","19960515","CN 96229921 U","1996","CN","China","1998-8-26","CN 2288579 Y","1998","1","Beehive For Apiculture","Apiculture; beehive","https://lens.org/082-063-068-612-007"
"UNIV WUHAN","UNIV WUHAN","2","","","1","HE SAIXIAN; MEI TIANCAN; ZHONG SIDONG","F41G1/54","Weapons","F41G: Mechanical Engineering; Lighting; Heating; Weapons; Blasting -> Weapons -> Weapon Sights; Aiming","","CN","China","20011016","CN 01252144 U","2001","CN","China","2002-7-24","CN 2502232 Y","2002","1","Shooting Training Analyser","shooting Training Analyser","https://lens.org/119-286-355-236-912"
"","GU ZHENSHENG","0","","","1","GU ZHENSHENG","F41J9/00","Weapons","F41J: Mechanical Engineering; Lighting; Heating; Weapons; Blasting -> Weapons -> Targets; Target Ranges; Bullet Catchers","","CN","China","20020627","CN 02273887 U","2002","CN","China","2003-6-25","CN 2557916 Y","2003","1","Conveying Target","conveying Target","https://lens.org/176-097-610-768-292"
"","BIAN KAI","0","","","1","BIAN KAI","F41J7/06","Weapons","F41J: Mechanical Engineering; Lighting; Heating; Weapons; Blasting -> Weapons -> Targets; Target Ranges; Bullet Catchers","","CN","China","20030707","CN 03251928 U","2003","CN","China","2004-8-4","CN 2630787 Y","2004","1","Rocking Disappearing Target Drone","Disappearing Target Drone","https://lens.org/022-878-191-086-138"
"BAODING LONG TENG SPORTS GOODS CO LTD","BAODING LONG TENG SPORTS GOODS CO LTD","2","","","1","ZHANG XUN","F41J9/02","Weapons","F41J: Mechanical Engineering; Lighting; Heating; Weapons; Blasting -> Weapons -> Targets; Target Ranges; Bullet Catchers","","CN","China","20030224","CN 03204561 U","2003","CN","China","2004-4-21","CN 2612926 Y","2004","1","Horizontal Translation Exercise Target Drone","horizontal Translation Exercise Target Drone","https://lens.org/138-132-842-710-252"
"","LU DAOCHANG","0","","","1","LU DAOCHANG","B63B45/08; G10H1/00","Musical Instruments; Waterborne Vessels/Ships","B63B: Performing Operations; Transporting -> Ships Or Other Waterborne Vessels; Related Equipment -> Ships Or Other Waterborne Vessels; Equipment For Shipping; G10H: Physics -> Musical Instruments; Acoustics -> Electrophonic Musical Instruments; Instruments In Which The Tones Are Generated By Electromechanical Means Or Electronic Generators, Or In Which The Tones Are Synthesised From A Data Store","","CN","China","20030523","CN 03231575 U","2003","CN","China","2004-6-30","CN 2622808 Y","2004","1","Electric Pressuring Hornpipe","electric; Hornpipe","https://lens.org/182-937-753-711-10X"
"BAODING LONG TENG SPORTS GOODS CO LTD","BAODING LONG TENG SPORTS GOODS CO LTD","1","","","1","ZHANG XUN","F41J5/14","Weapons","F41J: Mechanical Engineering; Lighting; Heating; Weapons; Blasting -> Weapons -> Targets; Target Ranges; Bullet Catchers","","CN","China","20030307","CN 03240192 U","2003","CN","China","2004-4-21","CN 2612925 Y","2004","1","Automatic Target Indicating Apparatus For Shooting Exercise","automatic Target Indicating Apparatus; Shooting Exercise","https://lens.org/144-310-580-019-731"
"","MIAO HONGBAO","0","","","1","FAN SHUANGLIAN; MIAO HONGBAO; MIAO YONG","F41J9/00","Weapons","F41J: Mechanical Engineering; Lighting; Heating; Weapons; Blasting -> Weapons -> Targets; Target Ranges; Bullet Catchers","","CN","China","20040101","CN 200420010017 U","2004","CN","China","2004-12-22","CN 2665655 Y","2004","1","Target Drone Of Bull's Eye Reciprocating When Eccentrically Rotating","Bull's Eye; Eccentrically Rotating; Target Drone","https://lens.org/084-267-067-195-86X"
"","TIELING CHANGMAOYUAN SCIENCE A","3","","","1","HAN SHIMING","F41J9/08","Weapons","F41J: Mechanical Engineering; Lighting; Heating; Weapons; Blasting -> Weapons -> Targets; Target Ranges; Bullet Catchers","","CN","China","20040616","CN 200420032097 U","2004","CN","China","2005-7-6","CN 2708232 Y","2005","1","Simulation Cruise Missile Target Drone","simulation Cruise Missile Target Drone","https://lens.org/045-638-205-426-538"
"NANJING AGRICULTURAL MECHANIZA","NANJING AGRICULTURAL MECHANIZA","4","","","1","CHEN CHANGLIN; LIANG JIAN; XUE XINYU","B05B7/02; B05B7/04","Spraying/Atomising","B05B: Performing Operations; Transporting -> Spraying Or Atomising In General; Applying Liquids Or Other Fluent Materials To Surfaces, In General -> Spraying Apparatus; Atomising Apparatus; Nozzles","","CN","China","20040716","CN 200420062686 U","2004","CN","China","2005-9-14","CN 2724849 Y","2005","1","Jetting Type Air Mixing Spray-nozzle","jetting Type Air Mixing Spray-nozzle","https://lens.org/196-416-440-551-509"
"NANJING FOREST PUBLIC SECURITY","NANJING FOREST PUBLIC SECURITY","0","","","1","CONG JINGHUA; ZHAO JINGHUA","F41A33/00; F41G3/30","Weapons","F41A: Mechanical Engineering; Lighting; Heating; Weapons; Blasting -> Weapons -> Functional Features Or Details Common To Both Smallarms And Ordnance, E.G. Cannons; Mountings For Smallarms Or Ordnance; F41G: Mechanical Engineering; Lighting; Heating; Weapons; Blasting -> Weapons -> Weapon Sights; Aiming","","CN","China","20041229","CN 200420054785 U","2004","CN","China","2006-2-8","CN 2757090 Y","2006","1","Detector For Rifle Basic Training","detector; Rifle Basic Training","https://lens.org/026-682-712-602-785"
"","ZHANG QIANG","2","","","1","ZHANG QIANG","A63B69/00; A63B71/06","Sports","A63B: Human Necessities -> Sports; Games; Amusements -> Apparatus For Physical Training, Gymnastics, Swimming, Climbing, Or Fencing; Ball Games; Training Equipment","","CN","China","20040707","CN 200420073525 U","2004","CN","China","2006-4-26","CN 2774586 Y","2006","1","Multifunction Programmable Boxing Training Device","multifunction Programmable Boxing Training Device","https://lens.org/110-908-475-334-708"
"APPLIED ELECTRONICS RES INST O","APPLIED ELECTRONICS RES INST O","0","","","1","MA SHE; WANG YAN; ZHAO ZHONGJIE","G01B11/26","Measuring","G01B: Physics -> Measuring; Testing -> Measuring Length, Thickness Or Similar Linear Dimensions; Measuring Angles; Measuring Areas; Measuring Irregularities Of Surfaces Or Contours","","CN","China","20041214","CN 200420105617 U","2004","CN","China","2006-5-3","CN 2777490 Y","2006","1","Short-distance Precision Dynamic Angle Measuring Instrument","Instrument; short-distance Precision Dynamic Angle","https://lens.org/079-897-217-810-684"
"","LIN ZHIDE","0","","","1","LIN ZHIDE","A01K57/00","Agriculture","A01K: Human Necessities -> Agriculture; Forestry; Animal Husbandry; Hunting; Trapping; Fishing -> Animal Husbandry; Care Of Birds, Fishes, Insects; Fishing; Rearing Or Breeding Animals, Not Otherwise Provided For; New Breeds Of Animals","","CN","China","20050330","CN 200520082003 U","2005","CN","China","2006-5-31","CN 2783749 Y","2006","1","Drone Pupa Collector","drone Pupa Collector","https://lens.org/003-752-700-513-415"
"NO 60 RES INST OF GENERAL STAF","NO 60 RES INST OF GENERAL STAF","2","","","1","FAN KAI; JIANG WUGEN; JIN HAO; LI PEI; SHAO GANG; XIE QINWEI; YU ZHENGLIANG","F41G3/26; F41J5/02; F41J9/14","Weapons","F41G: Mechanical Engineering; Lighting; Heating; Weapons; Blasting -> Weapons -> Weapon Sights; Aiming; F41J: Mechanical Engineering; Lighting; Heating; Weapons; Blasting -> Weapons -> Targets; Target Ranges; Bullet Catchers","","CN","China","20050523","CN 200520072161 U","2005","CN","China","2006-6-7","CN 2786540 Y","2006","1","Heat Imaging Mutual Active Shoot Training System","heat Imaging Mutual Active Shoot Training System","https://lens.org/171-141-498-232-52X"
"WANG FENGHE","WANG FENGHE","1","","","1","WANG FENGHE XU","A01K47/00; A01K47/06; A01K49/00","Agriculture","A01K: Human Necessities -> Agriculture; Forestry; Animal Husbandry; Hunting; Trapping; Fishing -> Animal Husbandry; Care Of Birds, Fishes, Insects; Fishing; Rearing Or Breeding Animals, Not Otherwise Provided For; New Breeds Of Animals","","CN","China","20051011","CN 200520114539 U","2005","CN","China","2006-12-20","CN 2847846 Y","2006","1","Portable Plastic Heat Preservation Beehive","portable Plastic Heat Preservation Beehive","https://lens.org/121-859-759-118-848"
"YIYANG SCIENCE & TECHNOLOGY CO","YIYANG SCIENCE & TECHNOLOGY CO","0","","","1","WANG YIGUO","H05K1/14; H05K3/36","Printed Circuits","H05K: Electricity -> Electric Techniques Not Otherwise Provided For -> Printed Circuits; Casings Or Constructional Details Of Electric Apparatus; Manufacture Of Assemblages Of Electrical Components","","CN","China","20051209","CN 200520142897 U","2005","CN","China","2007-1-3","CN 2855005 Y","2007","1","Printed Circuit Board Replacement Structure","printed Circuit Board Replacement Structure","https://lens.org/160-664-193-681-141"
"","ZHOU ZHIJIAN","0","","","1","ZHOU ZHIJIAN","A63B67/12; A63F9/02","Sports","A63B: Human Necessities -> Sports; Games; Amusements -> Apparatus For Physical Training, Gymnastics, Swimming, Climbing, Or Fencing; Ball Games; Training Equipment; A63F: Human Necessities -> Sports; Games; Amusements -> Card, Board Or Roulette Games; Indoor Games Using Small Moving Playing Bodies; Video Games; Games Not Otherwise Provided For","","CN","China","20051214","CN 200520139768 U","2005","CN","China","2007-4-4","CN 2885344 Y","2007","1","Ball Target Machine","ball Target Machine","https://lens.org/046-158-945-262-923"
"WEI LIDONG","WEI LIDONG","3","","","1","YU QINGGUANG GU","F41A33/00; F41A33/02; F41J7/00","Weapons","F41A: Mechanical Engineering; Lighting; Heating; Weapons; Blasting -> Weapons -> Functional Features Or Details Common To Both Smallarms And Ordnance, E.G. Cannons; Mountings For Smallarms Or Ordnance; F41J: Mechanical Engineering; Lighting; Heating; Weapons; Blasting -> Weapons -> Targets; Target Ranges; Bullet Catchers","","CN","China","20060418","CN 200620012450 U","2006","CN","China","2007-4-18","CN 2890826 Y","2007","1","Laser Simulative Shoot Training System","laser Simulative Shoot Training System","https://lens.org/106-130-657-101-447"
"YIYANG SCIENCE & TECHNOLOGY CO","YIYANG SCIENCE & TECHNOLOGY CO","1","","","1","WANG YIGUO","H05K1/00; H05K3/00","Printed Circuits","H05K: Electricity -> Electric Techniques Not Otherwise Provided For -> Printed Circuits; Casings Or Constructional Details Of Electric Apparatus; Manufacture Of Assemblages Of Electrical Components","","CN","China","20051208","CN 200520142931 U","2005","CN","China","2007-1-3","CN 2855007 Y","2007","1","Printed Circuit Board Replacement Structure","printed Circuit Board Replacement Structure","https://lens.org/097-489-373-861-387"
"YIHANG INFORMATION SCIENCE TEC","YIHANG INFORMATION SCIENCE TEC","0","","","1","XIE XINGYAO WAN","G01N21/17; G01N21/47; G01W1/00","Measuring; Meteorology","G01N: Physics -> Measuring; Testing -> Investigating Or Analysing Materials By Determining Their Chemical Or Physical Properties; G01W: Physics -> Measuring; Testing -> Meteorology","","CN","China","20060106","CN 200620032714 U","2006","CN","China","2007-2-14","CN 2869852 Y","2007","1","Atmosphere Visibility Measuring Special-use Target Mark","atmosphere Visibility; Special-use Target Mark","https://lens.org/031-650-041-081-839"
"","ZHUO YUFU","0","F41J1/00; F41J5/18","","1","ZHUO YUFU","F41J13/00; F41J3/00","Weapons","F41J: Mechanical Engineering; Lighting; Heating; Weapons; Blasting -> Weapons -> Targets; Target Ranges; Bullet Catchers","","CN","China","20050623","CN 200520110421 U","2005","CN","China","2007-4-18","CN 2890830 Y","2007","1","Ball, Safety Bb Bullet Target Structure","ball; Safety Bb Bullet Target Structure","https://lens.org/102-466-459-842-360"
"CHEN GUIZHONG","CHEN GUIZHONG","0","","","1","ZHU LIANXIN","F41G1/34","Weapons","F41G: Mechanical Engineering; Lighting; Heating; Weapons; Blasting -> Weapons -> Weapon Sights; Aiming","","CN","China","20050819","CN 200520022659 U","2005","CN","China","2007-4-25","CN 2893626 Y","2007","1","Universal Two-into-one Laser Sighting Device","universal Two-into-one Laser Sighting Device","https://lens.org/150-787-183-092-13X"
"VÃZKUMNÃ ÃšSTAV MELIORACÃ A OCHRANY PÅ®DY","ADCIS S R O; VÃZKUMNÃ ÃšSTAV MELIORACÃ A OCHRANY PÅ®DY","0","","","1","KREJZEK PAVEL; KULHAV MARTIN; KULHAV ZBYNÄšK","G05F5/08; G05G9/00","Control Systems","G05F: Physics -> Controlling; Regulating -> Systems For Regulating Electric Or Magnetic Variables; G05G: Physics -> Controlling; Regulating -> Control Devices Or Systems Insofar As Characterised By Mechanical Features Only","","CZ","Czech Republic","20141112","CZ 201430250 U","2014","CZ","Czech Republic","2015-6-10","CZ 28263 U1","2015","1","Flight Control Unit Of Captive Unmanned Drone Models","Captive Unmanned Drone Models; flight Control Unit","https://lens.org/115-830-169-786-401"
"SIEMENS AG","SIEMENS AG","0","F23R2900/00014; F23R3/00","","1","","F23R3/00","Combustion Apparatus","F23R: Mechanical Engineering; Lighting; Heating; Weapons; Blasting -> Combustion Apparatus; Combustion Processes -> Generating Combustion Products Of High Pressure Or High Velocity, E.G. Gas-Turbine Combustion Chambers","","DE","Germany","20000225","DE 10008809 A","2000","DE","Germany","2001-9-20","DE 10008809 A1","2001","1","Method Of Damping Combustion-chamber Combustion Fluctuations In Gas-turbine","Combustion-chamber Combustion Fluctuations; Gas-turbine; method","https://lens.org/186-725-108-064-799"
